k,Sample Mean (Y),Sample Variance (Y),Sample Mean (2^Y),Sample Variance (2^Y),,,,log(2)k,Add. Constant,,Completion time (s)
68,6.4146,0.93320016,107.2272,6861.810561,,,,6.087462841,0.327137159,,
69,6.433,0.90760176,107.9848,6713.285498,,,,6.108524457,0.324475543,,
70,6.448,0.937589759,109.8976,7174.332547,,,,6.129283017,0.318716983,,
71,6.4721,0.936715262,111.5304,7249.995675,,,,6.14974712,0.32235288,,
72,6.4935,0.924450195,112.9488,7389.201899,,,,6.169925001,0.323574999,,
73,6.5133,0.948117922,115.3232,8214.929835,,,,6.189824559,0.323475441,,
74,6.5425,0.927886539,117.004,8081.451329,,,,6.209453366,0.333046634,,
75,6.547,0.897080708,116.5264,7787.279231,,,,6.22881869,0.31818131,,
76,6.5526,0.912324472,117.3024,7802.05356,,,,6.247927513,0.304672487,,
77,6.574,0.909614961,119.0776,8197.876166,,,,6.266786541,0.307213459,,
78,6.6098,0.904434403,121.856,8599.885653,,,,6.285402219,0.324397781,,
79,6.6109,0.904991689,122.1792,8810.570544,,,,6.303780748,0.307119252,,
80,6.6428,0.92070023,125.2936,9099.153314,,,,6.321928095,0.320871905,,
81,6.6508,0.928552215,126.0976,9230.532728,,,,6.339850003,0.310949997,,
82,6.6724,0.923570597,127.8784,9484.914505,,,,6.357552005,0.314847995,,
83,6.685,0.917266727,128.9696,9789.427619,,,,6.375039431,0.309960569,,
84,6.6921,0.916789269,129.5552,9843.250478,,,,6.392317423,0.299782577,,
85,6.7193,0.91999951,132.0192,10225.58539,,,,6.409390936,0.309909064,,
86,6.7414,0.919618002,133.912,10112.90115,,,,6.426264755,0.315135245,,
87,6.7688,0.921238684,136.6288,10925.65078,,,,6.442943496,0.325856504,,
88,6.7753,0.9079007,136.512,10182.79774,,,,6.459431619,0.315868381,,
89,6.7897,0.910364946,138.0912,10585.30621,,,,6.475733431,0.313966569,,
90,6.7941,0.884993689,137.7488,10372.9934,,,,6.491853096,0.302246904,,
91,6.8222,0.918479008,141.9696,12144.11269,,,,6.50779464,0.31440536,,
92,6.8334,0.884332873,141.4912,10837.36246,,,,6.523561956,0.309838044,,
93,6.8551,0.904994489,144.3216,11585.13189,,,,6.539158811,0.315941189,,
94,6.8639,0.888265617,144.4928,11109.93694,,,,6.554588852,0.309311148,,
95,6.8703,0.889966907,145.4432,11874.33021,,,,6.569855608,0.300444392,,
96,6.8941,0.878773067,147.6064,12089.06679,,,,6.584962501,0.309137499,,
97,6.9087,0.901254435,149.608,12286.6814,,,,6.599912842,0.308787158,,
98,6.9427,0.87350406,152.3616,12752.91414,,,,6.614709844,0.327990156,,
99,6.9511,0.93120191,154.984,13447.5957,,,,6.62935662,0.32174338,,
100,6.9683,0.890384148,155.7408,13505.59057,,,,6.64385619,0.32444381,,
101,6.9598,0.901274087,155.1536,13566.42585,,,,6.658211483,0.301588517,,
102,6.9796,0.886872527,156.7008,13416.37692,,,,6.672425342,0.307174658,,
103,7.0214,0.875029543,160.5328,13530.69479,,,,6.686500527,0.334899473,,
104,7.0159,0.891336324,160.9952,14552.93847,,,,6.700439718,0.315460282,,
105,7.0459,0.903883578,164.728,15322.51267,,,,6.714245518,0.331654482,,
106,7.046,0.887172717,164.1344,14808.57959,,,,6.727920455,0.318079545,,
107,7.0604,0.898641704,166.2432,15447.80243,,,,6.741466986,0.318933014,,
108,7.075,0.895064506,167.4272,14936.71757,,,,6.754887502,0.320112498,,
109,7.0718,0.913336094,167.7648,15378.94178,,,,6.768184325,0.303615675,,
110,7.0889,0.886285419,169.064,15696.15592,,,,6.781359714,0.307540286,,
111,7.088,0.888544854,168.6704,15188.98626,,,,6.794415866,0.293584134,,
112,7.1168,0.885246285,172.1728,16092.6386,,,,6.807354922,0.309445078,,
113,7.1098,0.889032863,171.616,16141.37068,,,,6.820178962,0.289621038,,
114,7.1446,0.911581998,176.352,16760.59216,,,,6.832890014,0.311709986,,
115,7.1337,0.879512261,173.9648,16215.48911,,,,6.845490051,0.288209949,,
116,7.1659,0.907467937,179.2512,18087.67367,,,,6.857980995,0.307919005,,
117,7.1808,0.89180054,179.9456,17094.5705,,,,6.87036472,0.31043528,,
118,7.1894,0.893617002,181.1808,17458.32274,,,,6.882643049,0.306756951,,
119,7.2074,0.866071847,182.2352,17006.66295,,,,6.894817763,0.312582237,,
120,7.2042,0.861788539,181.7392,17038.2054,,,,6.906890596,0.297309404,,
121,7.2283,0.880467157,186.008,19023.48308,,,,6.918863237,0.309436763,,
122,7.212,0.876943694,183.5056,17935.42431,,,,6.930737338,0.281262662,,
123,7.2626,0.873328573,190.056,19293.56142,,,,6.942514505,0.320085495,,
124,7.2574,0.910236264,190.9728,20294.86235,,,,6.95419631,0.30320369,,
125,7.2782,0.874692229,191.6352,18965.62908,,,,6.965784285,0.312415715,,
126,7.2798,0.88520048,192.5696,19605.55291,,,,6.977279923,0.302520077,,
127,7.2962,0.885554115,195.0032,20544.74086,,,,6.988684687,0.307515313,,
128,7.3007,0.879767487,195.0176,19737.48224,,,,7,0.3007,,
129,7.3254,0.87740258,198.4,20510.26223,,,,7.011227255,0.314172745,,
130,7.3274,0.86809605,198.1216,20218.03902,,,,7.022367813,0.305032187,,
131,7.3231,0.876594049,198.5872,21523.61236,,,,7.033423002,0.289676998,,
132,7.3468,0.872617022,201.2368,21417.16244,,,,7.044394119,0.302405881,,
133,7.3556,0.869435584,202.5104,21842.41013,,,,7.055282436,0.300317564,,
134,7.3696,0.866482488,203.8496,21126.186,,,,7.06608919,0.30351081,,
135,7.361,0.864965497,202.5296,20806.02413,,,,7.076815597,0.284184403,,
136,7.389,0.877966797,207.2128,22257.63168,,,,7.087462841,0.301537159,,
137,7.393,0.850436044,206.7648,21802.38252,,,,7.098032083,0.294967917,,
138,7.4081,0.864440834,209.368,22474.89767,,,,7.108524457,0.299575543,,
139,7.4151,0.837075698,208.9072,21295.56574,,,,7.118941073,0.296158927,,
140,7.4307,0.855083018,212.1008,22426.5653,,,,7.129283017,0.301416983,,
141,7.438,0.866042604,213.8912,23620.62222,,,,7.139551352,0.298448648,,
142,7.4592,0.864221782,217.0496,24364.24036,,,,7.14974712,0.30945288,,
143,7.4619,0.837832173,215.776,22788.27665,,,,7.159871337,0.302028663,,
144,7.4691,0.851130303,217.6224,23592.63588,,,,7.169925001,0.299174999,,
145,7.4745,0.854435194,218.4512,23615.52757,,,,7.17990909,0.29459091,,
146,7.4919,0.874421832,222.3808,25402.0816,,,,7.189824559,0.302075441,,
147,7.4951,0.840260016,221.24,24356.0084,,,,7.199672345,0.295427655,,
148,7.5139,0.849091699,224.08,24383.76958,,,,7.209453366,0.304446634,,
149,7.5314,0.86370041,227.8176,26046.62899,,,,7.21916852,0.31223148,,
150,7.5341,0.828320022,226.6336,25232.16977,,,,7.22881869,0.30528131,,
151,7.547,0.845675568,229.4592,26097.29967,,,,7.238404739,0.308595261,,
152,7.5422,0.84110327,228.5024,25823.0531,,,,7.247927513,0.294272487,,
153,7.5488,0.84530309,229.4688,25527.89622,,,,7.257387843,0.291412157,,
154,7.5624,0.837189959,231.256,25795.30599,,,,7.266786541,0.295613459,,
155,7.5681,0.844046795,232.2176,25787.15857,,,,7.276124405,0.291975595,,
156,7.5739,0.835822372,233.12,26555.56436,,,,7.285402219,0.288497781,,
157,7.5825,0.838277578,234.6448,26945.43398,,,,7.294620749,0.287879251,,
158,7.6025,0.822576008,236.9104,26533.83095,,,,7.303780748,0.298719252,,
159,7.5931,0.844216812,236.7456,27411.38842,,,,7.312882955,0.280217045,,
160,7.6058,0.830089369,237.7296,26784.62135,,,,7.321928095,0.283871905,,
161,7.6177,0.824029113,239.4016,26880.28195,,,,7.330916878,0.286783122,,
162,7.6342,0.836674027,242.8592,28171.51253,,,,7.339850003,0.294349997,,
163,7.6232,0.833705131,241.088,27895.16097,,,,7.348728154,0.274471846,,
164,7.6579,0.829550545,246.3616,28504.74212,,,,7.357552005,0.300347995,,
165,7.6729,0.837989389,249.5072,29624.14036,,,,7.366322214,0.306577786,,
166,7.6552,0.83319628,246.048,28500.64616,,,,7.375039431,0.280160569,,
167,7.6794,0.83529917,250.5696,30057.51011,,,,7.383704292,0.295695708,,
168,7.6904,0.816229463,251.5424,29954.88849,,,,7.392317423,0.298082577,,
169,7.6892,0.836286989,252.2112,29978.32603,,,,7.400879436,0.288320564,,
170,7.7103,0.855459456,257.0464,32006.5089,,,,7.409390936,0.300909064,,
171,7.7081,0.830177408,255.1264,30590.50707,,,,7.417852515,0.290247485,,
172,7.7106,0.848732513,257.0112,32335.2158,,,,7.426264755,0.284335245,,
173,7.725,0.826257626,257.9168,30997.85126,,,,7.434628228,0.290371772,,
174,7.7335,0.820959846,259.104,30878.31702,,,,7.442943496,0.290556504,,
175,7.7484,0.827380178,262.2848,32116.28892,,,,7.451211112,0.297188888,,
176,7.7588,0.835306091,264.7232,33493.56554,,,,7.459431619,0.299368381,,
177,7.7696,0.82619846,266.0608,33107.9535,,,,7.46760555,0.30199445,,
178,7.7661,0.834474237,265.7184,32536.41594,,,,7.475733431,0.290366569,,
179,7.7696,0.84400024,267.1104,33866.30084,,,,7.483815777,0.285784223,,
180,7.7723,0.812133923,265.168,31234.73205,,,,7.491853096,0.280446904,,
181,7.7826,0.828220062,268.1504,32625.98558,,,,7.499845887,0.282754113,,
182,7.7973,0.821694879,270.8224,33595.93125,,,,7.50779464,0.28950536,,
183,7.8045,0.818161566,272.3232,34733.76252,,,,7.515699838,0.288800162,,
184,7.7965,0.815969347,270.752,34254.66796,,,,7.523561956,0.272938044,,
185,7.8086,0.816247665,272.6656,34226.08358,,,,7.531381461,0.277218539,,
186,7.8273,0.814156126,276.1152,34699.11104,,,,7.539158811,0.288141189,,
187,7.834,0.804924492,276.784,34478.91644,,,,7.54689446,0.28710554,,
188,7.8286,0.81350339,276.4672,35141.7791,,,,7.554588852,0.274011148,,
189,7.8518,0.826319392,281.5296,36506.09173,,,,7.562242424,0.289557576,,
190,7.8487,0.815889899,280.3104,35924.4433,,,,7.569855608,0.278844392,,
191,7.8593,0.797383248,281.1136,35070.0685,,,,7.577428828,0.281871172,,
192,7.8647,0.810674977,282.8128,35637.14947,,,,7.584962501,0.279737499,,
193,7.8839,0.8211029,287.232,37281.03908,,,,7.592457037,0.291442963,,
194,7.9094,0.820673707,292.1472,37876.43158,,,,7.599912842,0.309487158,,
195,7.906,0.810045005,290.9568,37664.29736,,,,7.607330314,0.298669686,,
196,7.8916,0.811930633,287.7632,36139.28905,,,,7.614709844,0.276890156,,
197,7.8958,0.799022262,288.1088,36318.14158,,,,7.622051819,0.273748181,,
198,7.9099,0.787860776,290.368,36670.16199,,,,7.62935662,0.28054338,,
199,7.9233,0.8008972,293.8624,37950.81615,,,,7.636624621,0.286675379,,
200,7.9318,0.808229583,295.7536,37945.64745,,,,7.64385619,0.28794381,,
201,7.9353,0.808194729,296.376,38077.47117,,,,7.651051691,0.284248309,,
202,7.9419,0.79700409,297.1232,37928.67529,,,,7.658211483,0.283688517,,
203,7.9387,0.804022712,297.2768,39239.56734,,,,7.665335917,0.273364083,,
204,7.9437,0.821412451,299.2896,39911.24966,,,,7.672425342,0.271274658,,
205,7.9522,0.80979614,300.3488,40010.02334,,,,7.6794801,0.2727199,,
