k,Sample Mean (Y),Sample Variance (Y),Sample Mean (2^Y),Sample Variance (2^Y),,,,log(2)k,Add. Constant,,Completion time (s)
78,6.6165,0.891916942,122.2368,8646.408567,,,,6.285402219,0.331097781,,
79,6.6144,0.88740138,121.952,8582.775974,,,,6.303780748,0.310619252,,
80,6.6313,0.890849395,123.2112,8528.499445,,,,6.321928095,0.309371905,,
81,6.6606,0.91149879,126.7376,9481.312878,,,,6.339850003,0.320749997,,
82,6.6579,0.904358026,125.9664,8974.349106,,,,6.357552005,0.300347995,,
83,6.6822,0.911294289,128.3872,9421.950671,,,,6.375039431,0.307160569,,
84,6.7009,0.883727563,129.336,9294.530157,,,,6.392317423,0.308582577,,
85,6.738,0.926048605,133.7384,10165.80255,,,,6.409390936,0.328609064,,
86,6.7393,0.906026113,133.344,10112.86895,,,,6.426264755,0.313035245,,
87,6.7695,0.876857436,135.3728,10320.35706,,,,6.442943496,0.326556504,,
88,6.7668,0.897107471,135.5136,10001.09632,,,,6.459431619,0.307368381,,
89,6.7848,0.896378598,137.5328,11151.14964,,,,6.475733431,0.309066569,,
90,6.7923,0.906651375,138.1872,10626.21798,,,,6.491853096,0.300446904,,
91,6.8087,0.862590569,138.5504,10519.16818,,,,6.50779464,0.30090536,,
92,6.8507,0.90429994,143.9072,11516.17661,,,,6.523561956,0.327138044,,
93,6.8561,0.902683058,144.4496,11835.11897,,,,6.539158811,0.316941189,,
94,6.8724,0.891407381,145.3648,11253.09943,,,,6.554588852,0.317811148,,
95,6.8701,0.901116102,145.9136,12118.6892,,,,6.569855608,0.300244392,,
96,6.9047,0.902508161,149.424,12470.66889,,,,6.584962501,0.319737499,,
97,6.9067,0.894684578,149.3296,12344.87465,,,,6.599912842,0.306787158,,
98,6.9259,0.90349954,151.7456,13015.61124,,,,6.614709844,0.311190156,,
99,6.9221,0.873718962,150.0896,12222.44302,,,,6.62935662,0.29274338,,
100,6.9565,0.87929568,153.8208,12635.59305,,,,6.64385619,0.31264381,,
101,6.9604,0.867918632,153.88,12721.29613,,,,6.658211483,0.302188517,,
102,6.985,0.877662766,157.0592,13631.11481,,,,6.672425342,0.312574658,,
103,7.009,0.884007401,159.8256,14031.1711,,,,6.686500527,0.322499473,,
104,7.0161,0.892530043,161.1696,14677.78301,,,,6.700439718,0.315660282,,
105,7.0268,0.900171777,162.6,15016.18162,,,,6.714245518,0.312554482,,
106,7.0355,0.880727823,162.6128,14145.62784,,,,6.727920455,0.307579545,,
107,7.0776,0.868665107,166.6176,14276.89266,,,,6.741466986,0.336133014,,
108,7.0517,0.877314841,164.2912,14513.28973,,,,6.754887502,0.296812498,,
109,7.0823,0.885815292,167.8752,14887.7196,,,,6.768184325,0.314115675,,
110,7.0866,0.868787319,168.0112,15122.30571,,,,6.781359714,0.305240286,,
111,7.0804,0.891424982,167.5808,14467.2678,,,,6.794415866,0.285984134,,
112,7.1081,0.8731017,170.6096,15438.39463,,,,6.807354922,0.300745078,,
113,7.1414,0.861492189,174.048,15748.42054,,,,6.820178962,0.321221038,,
114,7.1287,0.866222932,172.8976,15815.23984,,,,6.832890014,0.295809986,,
115,7.1556,0.849673607,175.2928,15768.67994,,,,6.845490051,0.310109949,,
116,7.1665,0.874665217,177.5456,16435.37626,,,,6.857980995,0.308519005,,
117,7.1727,0.860960806,178.2368,17097.91612,,,,6.87036472,0.30233528,,
118,7.1873,0.84530324,179.0032,16218.93228,,,,6.882643049,0.304656951,,
119,7.2011,0.846343424,180.6928,16385.35056,,,,6.894817763,0.306282237,,
120,7.2108,0.861449505,182.7392,17551.83277,,,,6.906890596,0.303909404,,
121,7.2364,0.88520356,186.648,18153.60026,,,,6.918863237,0.317536763,,
122,7.239,0.845363536,185.4704,17423.7595,,,,6.930737338,0.308262662,,
123,7.2233,0.857522862,183.8864,17094.25332,,,,6.942514505,0.280785495,,
124,7.2738,0.856919252,190.32,18173.81738,,,,6.95419631,0.31960369,,
125,7.2618,0.851945955,188.616,18028.5466,,,,6.965784285,0.296015715,,
126,7.2648,0.856766637,189.4016,18633.65248,,,,6.977279923,0.287520077,,
127,7.3002,0.861766137,194.3568,19645.56205,,,,6.988684687,0.311515313,,
128,7.3011,0.871125903,194.8128,19750.81204,,,,7,0.3011,,
129,7.3081,0.861060496,195.1232,19437.89821,,,,7.011227255,0.296872745,,
130,7.3303,0.874489359,198.6736,20096.60872,,,,7.022367813,0.307932187,,
131,7.3375,0.851478898,198.672,19781.7954,,,,7.033423002,0.304076998,,
132,7.3425,0.841277878,199.3328,20395.21997,,,,7.044394119,0.298105881,,
133,7.3503,0.848274737,200.6208,20615.76898,,,,7.055282436,0.295017564,,
134,7.3663,0.828607171,201.48,19649.10571,,,,7.06608919,0.30021081,,
135,7.3864,0.857780818,206.0128,21758.43168,,,,7.076815597,0.309584403,,
136,7.396,0.848268827,206.7824,21346.93054,,,,7.087462841,0.308537159,,
137,7.397,0.849875988,207.52,22405.49175,,,,7.098032083,0.298967917,,
138,7.3857,0.855621072,205.6,21163.05071,,,,7.108524457,0.277175543,,
139,7.408,0.831019102,207.4352,20543.30333,,,,7.118941073,0.289058927,,
140,7.431,0.824121412,210.4512,21163.00712,,,,7.129283017,0.301716983,,
141,7.4321,0.855275118,212.1456,22338.12301,,,,7.139551352,0.292548648,,
142,7.4488,0.820460606,212.9552,21713.42534,,,,7.14974712,0.29905288,,
143,7.46,0.850285029,216.352,23347.36283,,,,7.159871337,0.300128663,,
144,7.4727,0.837738484,217.472,23166.8187,,,,7.169925001,0.302774999,,
145,7.4639,0.847781568,216.8832,23799.25748,,,,7.17990909,0.28399091,,
146,7.4864,0.83369841,219.0784,22821.86164,,,,7.189824559,0.296575441,,
147,7.4971,0.856077198,222.0576,24535.87107,,,,7.199672345,0.297427655,,
148,7.5158,0.837834143,223.9008,24428.417,,,,7.209453366,0.306346634,,
149,7.5332,0.834181178,226.344,24584.76574,,,,7.21916852,0.31403148,,
150,7.5314,0.86510055,228.0864,26292.74661,,,,7.22881869,0.30258131,,
151,7.5239,0.846913481,225.6384,24868.46169,,,,7.238404739,0.285495261,,
